Time,RAINRATE,Q2D,T2D,U2D,V2D,LWDOWN,SWDOWN,PSFC
2016-01-01 00:00:00,0.0,0.0036675996533339817,279.69272233332356,7.255675537478679,-3.454108748255627,257.0283369593465,0.0,101671.43192186923
2016-01-01 01:00:00,0.0,0.0035932657729814328,279.59771157971016,6.9755214156956145,-3.648633840874135,259.81957630364445,0.0,101684.73912170534
2016-01-01 02:00:00,0.0,0.0036314077537655367,279.44537351586393,6.695167220896255,-3.793794643353074,262.92652180372033,0.0,101677.69331889157
2016-01-01 03:00:00,0.0,0.0037148328456945525,279.2626169860606,6.400000095367432,-3.9937946463333063,283.7622090220937,0.0,101714.4415376205
2016-01-01 04:00:00,0.0,0.003666565193737904,279.1515879795552,6.100000090897083,-3.791358136345178,284.16448854948777,0.0,101661.54367941627
2016-01-01 05:00:00,0.0,0.003506176776101738,278.4319484913731,5.815208231334702,-3.5845005861406247,281.7039529883235,0.0,101657.08509091112
2016-01-01 06:00:00,0.0,0.003472217743180523,278.05900603119136,5.600000083446503,-3.3845005831603925,285.449047758799,0.0,101569.32910179858
2016-01-01 07:00:00,0.0,0.003339421282967604,277.91009995869587,5.492009206452185,-3.195167168742189,284.7568363865226,0.0,101565.2437170063
2016-01-01 08:00:00,0.0,0.0032114183882627004,277.8204635242659,5.305474989337878,-2.9994227411250787,284.33908724148256,0.0,101592.42493076873
2016-01-01 09:00:00,0.0,0.0031972172077762697,277.6736591188921,5.200000077486038,-2.865111070507163,287.6293717287682,0.0,101560.77968677547
2016-01-01 10:00:00,0.0,0.003169247591243879,277.72927399811283,5.993794676135629,-2.600000038743019,287.92722876628926,0.0,101582.94266017125
2016-01-01 11:00:00,0.0,0.0032139487147804405,277.7285852460166,6.776098716293788,-2.400000035762787,288.45890931887214,0.0,101566.23012087925
2016-01-01 12:00:00,0.0,0.0032003626139475772,277.9246576731873,7.571175009452582,-2.115499498795994,295.0127417245986,0.0,101545.30177837588
2016-01-01 13:00:00,0.0,0.0031634687860067926,277.86370456404927,7.59942280967042,-2.3000000342726707,294.5719088990179,72.92912871117632,101568.92600447695
2016-01-01 14:00:00,0.0,0.003328218096262805,278.2377087782929,7.693794701467604,-2.500000037252903,297.47553004598393,159.546774458492,101606.25505775498
2016-01-01 15:00:00,0.0,0.0033377141958355846,278.55729156418937,7.776098731194949,-2.6717522400152975,292.3398217165418,283.4212362973388,101556.0625649128
2016-01-01 16:00:00,0.0,0.0034744074125070408,278.5275564814484,7.471752311540872,-2.457927877224959,292.9387883141764,354.845330657275,101497.53075493065
2016-01-01 17:00:00,0.0,0.0034440596313057045,278.6469754267657,7.105475016159968,-2.175521344170041,293.0471551273527,366.17350008097924,101375.81337205382
2016-01-01 18:00:00,0.0,0.0035239142738795253,278.7042189222035,6.800000101327896,-1.9625330057268457,297.05830869204726,316.1008289667603,101259.88794161819
2016-01-01 19:00:00,0.0,0.003484324145483695,278.6207877755602,6.900000102818012,-1.0631102958942056,295.39056846883346,243.87549102766897,101208.00946781322
2016-01-01 20:00:00,0.0,0.0034870365898273564,278.67651631844745,6.900000102818012,-0.0978025863876591,294.3644215991475,156.21269457081846,101173.09810586381
2016-01-01 21:00:00,0.0,0.0034602643675386347,278.69370156774283,7.000000104308128,0.800000011920929,299.7602733936446,35.73215272524947,101176.35841309655
2016-01-01 22:00:00,0.0,0.003234677680921506,278.44083110491476,7.400000110268593,0.20620541625157043,296.43338694296773,0.0,101173.61919589939
2016-01-01 23:00:00,0.0,0.0029799469490035505,278.27448287360556,7.793143658182687,-0.45625273972918745,293.10573294834035,0.0,101207.39778728536
2016-01-02 00:00:00,0.0,0.002903264842055047,277.46883154443225,8.171752321971685,-1.1296300253704423,287.1056637803206,0.0,101268.97555095884
2016-01-02 01:00:00,0.0,0.0029032706814485173,277.5007157233728,8.200000122189522,-1.768336960381595,289.99698700009264,0.0,101267.44284630536
2016-01-02 02:00:00,0.0,0.0028077228063564854,277.29621187855804,8.300000123679638,-2.4760986522187944,291.70731872705943,0.0,101299.42463509388
2016-01-02 03:00:00,0.0,0.0028357601995319657,277.10982495222356,8.39942282159135,-3.200000047683716,278.60356819970485,0.0,101295.60693251203
2016-01-02 04:00:00,0.0,0.0027973320827069286,276.6869173994898,8.397802710067296,-3.3054749595355553,279.36016910686936,0.0,101332.00058242452
2016-01-02 05:00:00,0.0,0.002641649188727935,276.21102215017635,8.475521438047357,-3.500000052154064,279.2478358243153,0.0,101358.78834339316
2016-01-02 06:00:00,0.0,0.0025870759219738765,276.0055612383109,8.551774062790622,-3.7000000551342964,253.74058578776842,0.0,101359.13905082879
2016-01-02 07:00:00,0.0,0.002515566190095689,276.05621559999014,8.283923352597677,-3.799422753046008,254.63235847650586,0.0,101424.38258097215
2016-01-02 08:00:00,0.0,0.0026229046690858866,275.79405995453874,8.08175430880064,-3.89379464484319,255.36037676262032,0.0,101379.93474776391
2016-01-02 09:00:00,0.0,0.00250862470384208,275.49298605859497,7.884500650215618,-3.984500592101089,219.87537668936795,0.0,101411.95803290642
2016-01-02 10:00:00,0.0,0.0025697078265916233,275.2067196564702,7.684500647235386,-3.9755213709921313,219.56386786161707,0.0,101448.03252845637
2016-01-02 11:00:00,0.0,0.0023882385375553266,275.28985656230594,7.493794698487371,-4.039501426394431,218.8733272145871,0.0,101466.57088916277
2016-01-02 12:00:00,0.0,0.002423137600147162,275.1216002320557,7.299422805200072,-4.036487615808131,214.25532371209832,0.0,101479.92147466744
